Timestamp,LDR,Distance
2026-07-15 12:01:13.800481,116,4.66
2026-07-15 12:01:13.800574,116,4.56
2026-07-15 12:01:13.800676,116,6.28
2026-07-15 12:01:13.800771,116,7.56
2026-07-15 12:01:13.800877,116,6.17
2026-07-15 12:01:13.800971,116,3.7
2026-07-15 12:01:13.801078,116,3.6
2026-07-15 12:01:13.801171,116,6.6
2026-07-15 12:01:13.801263,116,6.5
2026-07-15 12:01:13.801356,116,6.6
2026-07-15 12:01:13.801449,115,5.32
2026-07-15 12:01:13.801543,115,5.2
2026-07-15 12:01:13.801635,116,5.32
2026-07-15 12:01:13.801739,116,5.21
2026-07-15 12:01:13.801837,116,5.32
2026-07-15 12:01:13.801936,116,6.5
2026-07-15 12:01:13.802037,116,5.32
2026-07-15 12:01:13.802130,116,5.3
2026-07-15 12:01:13.802223,115,5.21
2026-07-15 12:01:13.802314,115,4.03
2026-07-15 12:01:13.802407,115,4.01
2026-07-15 12:01:13.802499,116,4.01
2026-07-15 12:01:13.802593,115,4.01
2026-07-15 12:01:13.802724,115,4.03
2026-07-15 12:01:13.802830,115,2.73
2026-07-15 12:01:13.802933,116,2.74
2026-07-15 12:01:13.803028,115,6.93
2026-07-15 12:01:13.803121,115,5.64
2026-07-15 12:01:13.803215,115,5.54
2026-07-15 12:01:13.803310,116,4.34
2026-07-15 12:01:13.803403,115,5.54
2026-07-15 12:01:13.803501,115,9.91
2026-07-15 12:01:13.803658,116,4.03
2026-07-15 12:01:13.803893,116,2.74
2026-07-15 12:01:13.804017,117,6.93
2026-07-15 12:01:13.804117,116,2.74
2026-07-15 12:01:13.804227,114,4.03
2026-07-15 12:01:13.804327,115,2.73
2026-07-15 12:01:13.804425,114,2.74
2026-07-15 12:01:13.804523,115,2.74
2026-07-15 12:01:13.804621,115,2.64
2026-07-15 12:01:13.804722,115,2.73
2026-07-15 12:01:13.804821,115,2.74
2026-07-15 12:01:13.805166,115,2.74
2026-07-15 12:01:13.805345,114,2.73
2026-07-15 12:01:13.805519,115,6.81
2026-07-15 12:01:13.805617,115,2.74
2026-07-15 12:01:13.805727,115,2.73
2026-07-15 12:01:13.805828,115,2.74
2026-07-15 12:01:13.805924,114,6.5
2026-07-15 12:01:13.806029,120,93.67
2026-07-15 12:01:13.806135,117,93.06
2026-07-15 12:01:13.806255,117,1190.3
2026-07-15 12:01:13.806389,117,1190.31
2026-07-15 12:01:13.806493,118,90.45
2026-07-15 12:01:13.806595,118,89.66
2026-07-15 12:01:13.806709,117,91.24
2026-07-15 12:01:13.806816,118,91.62
2026-07-15 12:01:13.806923,118,89.54
2026-07-15 12:01:13.807026,118,89.09
2026-07-15 12:01:13.807128,117,89.13
2026-07-15 12:01:13.807232,118,90.0
2026-07-15 12:01:13.807335,118,90.4
2026-07-15 12:01:13.807438,118,90.91
2026-07-15 12:01:13.807542,118,93.48
2026-07-15 12:01:13.807652,117,92.32
2026-07-15 12:01:13.807759,118,90.55
2026-07-15 12:01:13.807863,117,90.21
2026-07-15 12:01:13.807967,118,71.46
2026-07-15 12:01:13.808072,119,72.34
2026-07-15 12:01:13.808177,118,89.76
2026-07-15 12:01:13.808280,118,71.64
2026-07-15 12:01:13.808384,117,72.06
2026-07-15 12:01:13.808489,118,71.62
2026-07-15 12:01:13.808603,119,71.64
2026-07-15 12:01:13.808738,118,1190.36
2026-07-15 12:01:13.808851,119,87.96
2026-07-15 12:01:14.409657,131,10.26
2026-07-15 12:01:15.418125,121,56.27
2026-07-15 12:01:16.426963,121,56.65
2026-07-15 12:01:17.431536,121,4.36
2026-07-15 12:01:18.441206,120,56.23
2026-07-15 12:01:19.449872,120,56.23
2026-07-15 12:01:20.458660,120,56.06
2026-07-15 12:01:21.467307,121,55.96
2026-07-15 12:01:22.505323,120,56.23
2026-07-15 12:01:23.485002,121,55.96
2026-07-15 12:01:24.493631,121,55.96
2026-07-15 12:01:25.502322,121,56.22
2026-07-15 12:01:26.511260,121,61.86
2026-07-15 12:01:27.520280,120,58.76
2026-07-15 12:01:28.529239,121,58.89
2026-07-15 12:01:29.538175,121,58.65
2026-07-15 12:01:30.547790,120,69.3
2026-07-15 12:01:31.557695,120,78.65
2026-07-15 12:01:32.568410,121,82.53
2026-07-15 12:01:33.578131,121,75.89
2026-07-15 12:01:34.587139,120,66.11
2026-07-15 12:01:35.597274,121,79.18
2026-07-15 12:01:36.607112,122,74.55
2026-07-15 12:01:37.616950,121,71.7
2026-07-15 12:01:38.694162,120,1190.07
2026-07-15 12:01:39.702988,121,90.53
2026-07-15 12:01:40.712870,122,64.19
2026-07-15 12:01:41.721645,121,71.36
2026-07-15 12:01:42.730814,122,57.92
2026-07-15 12:01:43.740148,122,65.74
2026-07-15 12:01:44.749625,123,68.02
2026-07-15 12:01:45.755723,120,11.54
2026-07-15 12:01:46.761688,121,15.02
2026-07-15 12:01:47.768044,121,13.27
2026-07-15 12:01:48.777683,125,69.47
2026-07-15 12:01:49.788433,121,90.07
2026-07-15 12:01:50.798924,121,90.55
2026-07-15 12:01:51.809210,122,78.8
